Mean Response Time,Level 1 MRT,Level 1 Correct Responses,Level 2 MRT,Level 2 Correct Responses,Level 3 MRT,Level 3 Correct Responses
0.327479267,0.377014017,10,0.589820147,10,0.016587059,6
0.538847009,0.476873851,10,0.508598536,10,0.6326868,9
0.593604283,0.516561437,10,0.633533597,10,0.63250041,5
0.542324573,0.438560581,10,0.581073085,10,0.608968655,6
0.353545394,0.442551136,10,0.602431933,9,0.016714811,5
0.349656737,0.464726877,10,0.569035232,10,0.016258121,2
0.553571812,0.494891246,9,0.597952803,10,0.569533765,4
0.565124275,0.583922727,7,0.521141768,10,0.592005402,8
0.583538945,0.560601044,10,0.667016935,10,0.524751226,6
0.653668542,0.5368593,9,0.840580642,7,0.585528652,6
